Pressure, Temperature, X_ch4, X_c2h6, X_c3h8, ch4_uptake, c2h6_uptake, c3h8_uptake
0.1,200,0.1,0.6,0.3,0.0000200000,0.0630400000,7.6126600000
0.1,200,0.1,0.2,0.7,0.0000200000,0.0100600000,7.8637200000
0.1,200,0.2,0.3,0.5,0.0000000000,0.0180800000,7.8077800000
0.1,200,0.2,0.5,0.3,0.0000000000,0.0497400000,7.6242400000
0.1,200,0.2,0.6,0.2,0.0000400000,0.0878200000,7.3781800000
0.1,200,0.2,0.4,0.4,0.0000000000,0.0306000000,7.7360200000
0.1,200,0.3,0.3,0.4,0.0000400000,0.0259000000,7.7212800000
0.1,200,0.3,0.2,0.5,0.0000000000,0.0139400000,7.7658200000
0.1,200,0.333,0.333,0.334,0.0000200000,0.0304800000,7.6876200000
0.1,200,0.3,0.4,0.3,0.0000400000,0.0433600000,7.5918000000
0.1,200,0.4,0.1,0.5,0.0000600000,0.0066400000,7.7642800000
0.1,200,0.4,0.2,0.4,0.0000800000,0.0152400000,7.7682000000
0.1,200,0.4,0.3,0.3,0.0000600000,0.0340200000,7.6013600000
0.1,200,0.5,0.4,0.1,0.0001400000,0.1146200000,6.9296400000
0.1,200,0.5,0.1,0.4,0.0000400000,0.0072000000,7.7512400000
0.1,200,0.6,0.1,0.3,0.0000400000,0.0099800000,7.6268000000
0.1,220,0.1,0.6,0.3,0.0000400000,0.0739200000,4.3991200000
0.1,220,0.1,0.2,0.7,0.0000000000,0.0151400000,5.9559200000
0.1,220,0.2,0.3,0.5,0.0000600000,0.0278800000,5.4696800000
0.1,220,0.2,0.5,0.3,0.0001000000,0.0637200000,4.3804000000
0.1,220,0.2,0.6,0.2,0.0000600000,0.0897800000,3.6046800000
0.1,220,0.2,0.4,0.4,0.0000200000,0.0418800000,5.1110600000
0.1,220,0.3,0.3,0.4,0.0000400000,0.0307400000,5.0823800000
0.1,220,0.3,0.2,0.5,0.0000400000,0.0168400000,5.5316000000
0.1,220,0.333,0.333,0.334,0.0001000000,0.0385200000,4.7784600000
0.1,220,0.3,0.4,0.3,0.0000400000,0.0476600000,4.4341800000
0.1,220,0.4,0.1,0.5,0.0001000000,0.0085400000,5.5230800000
0.1,220,0.4,0.2,0.4,0.0000600000,0.0192600000,4.9791000000
0.1,220,0.4,0.3,0.3,0.0000600000,0.0376600000,4.5146600000
0.1,220,0.5,0.4,0.1,0.0001000000,0.0766400000,2.4280000000
0.1,220,0.5,0.1,0.4,0.0000800000,0.0094600000,5.0397400000
0.1,220,0.6,0.1,0.3,0.0001200000,0.0110800000,4.4763000000
0.1,240,0.1,0.6,0.3,0.0000400000,0.0251800000,0.8454400000
0.1,240,0.1,0.2,0.7,0.0000600000,0.0081200000,1.8278600000
0.1,240,0.2,0.3,0.5,0.0000200000,0.0114200000,1.3773600000
0.1,240,0.2,0.5,0.3,0.0000000000,0.0203200000,0.8707200000
0.1,240,0.2,0.6,0.2,0.0000400000,0.0257200000,0.6260600000
0.1,240,0.2,0.4,0.4,0.0000400000,0.0174400000,1.1565000000
0.1,240,0.3,0.3,0.4,0.0000000000,0.0121200000,1.1783000000
0.1,240,0.3,0.2,0.5,0.0000400000,0.0086200000,1.3899000000
0.1,240,0.333,0.333,0.334,0.0000400000,0.0145400000,0.9502000000
0.1,240,0.3,0.4,0.3,0.0000200000,0.0179000000,0.8808800000
0.1,240,0.4,0.1,0.5,0.0000400000,0.0037400000,1.3616400000
0.1,240,0.4,0.2,0.4,0.0000000000,0.0085000000,1.1217400000
0.1,240,0.4,0.3,0.3,0.0000400000,0.0128200000,0.9226800000
0.1,240,0.5,0.4,0.1,0.0000200000,0.0189000000,0.3275200000
0.1,240,0.5,0.1,0.4,0.0000400000,0.0042400000,1.1075400000
0.1,240,0.6,0.1,0.3,0.0001000000,0.0044200000,0.9124000000
0.1,260,0.1,0.6,0.3,0.0000000000,0.0065200000,0.1430400000
0.1,260,0.1,0.2,0.7,0.0000000000,0.0020200000,0.3035000000
0.1,260,0.2,0.3,0.5,0.0000200000,0.0030400000,0.2193400000
0.1,260,0.2,0.5,0.3,0.0000200000,0.0054000000,0.1330800000
0.1,260,0.2,0.6,0.2,0.0000000000,0.0066200000,0.0892800000
0.1,260,0.2,0.4,0.4,0.0000000000,0.0046400000,0.1754800000
0.1,260,0.3,0.3,0.4,0.0000200000,0.0030400000,0.1809000000
0.1,260,0.3,0.2,0.5,0.0000000000,0.0020400000,0.2195400000
0.1,260,0.333,0.333,0.334,0.0000200000,0.0038000000,0.1479200000
0.1,260,0.3,0.4,0.3,0.0000000000,0.0044400000,0.1297400000
0.1,260,0.4,0.1,0.5,0.0000000000,0.0008800000,0.2241600000
0.1,260,0.4,0.2,0.4,0.0000200000,0.0022000000,0.1862200000
0.1,260,0.4,0.3,0.3,0.0000200000,0.0029000000,0.1361200000
0.1,260,0.5,0.4,0.1,0.0000200000,0.0044000000,0.0468200000
0.1,260,0.5,0.1,0.4,0.0000000000,0.0009600000,0.1834000000
0.1,260,0.6,0.1,0.3,0.0000200000,0.0013200000,0.1329200000
0.1,280,0.1,0.6,0.3,0.0000000000,0.0017600000,0.0247000000
0.1,280,0.1,0.2,0.7,0.0000000000,0.0005800000,0.0550600000
0.1,280,0.2,0.3,0.5,0.0000000000,0.0012000000,0.0424600000
0.1,280,0.2,0.5,0.3,0.0000000000,0.0019000000,0.0231800000
0.1,280,0.2,0.6,0.2,0.0000000000,0.0019400000,0.0169800000
0.1,280,0.2,0.4,0.4,0.0000200000,0.0013400000,0.0335400000
0.1,280,0.3,0.3,0.4,0.0000000000,0.0010200000,0.0327600000
0.1,280,0.3,0.2,0.5,0.0000000000,0.0005000000,0.0429600000
0.1,280,0.333,0.333,0.334,0.0000000000,0.0011800000,0.0283200000
0.1,280,0.3,0.4,0.3,0.0000200000,0.0012000000,0.0253200000
0.1,280,0.4,0.1,0.5,0.0000000000,0.0003800000,0.0400200000
0.1,280,0.4,0.2,0.4,0.0000000000,0.0006600000,0.0332800000
0.1,280,0.4,0.3,0.3,0.0000000000,0.0007200000,0.0251000000
0.1,280,0.5,0.4,0.1,0.0000200000,0.0011400000,0.0089000000
0.1,280,0.5,0.1,0.4,0.0000000000,0.0003400000,0.0348400000
0.1,280,0.6,0.1,0.3,0.0000000000,0.0002800000,0.0251000000
0.1,300,0.1,0.6,0.3,0.0000000000,0.0005000000,0.0055200000
0.1,300,0.1,0.2,0.7,0.0000000000,0.0001800000,0.0132400000
0.1,300,0.2,0.3,0.5,0.0000000000,0.0001400000,0.0095200000
0.1,300,0.2,0.5,0.3,0.0000000000,0.0002400000,0.0058000000
0.1,300,0.2,0.6,0.2,0.0000000000,0.0006000000,0.0041800000
0.1,300,0.2,0.4,0.4,0.0000000000,0.0005000000,0.0071400000
0.1,300,0.3,0.3,0.4,0.0000200000,0.0003000000,0.0072800000
0.1,300,0.3,0.2,0.5,0.0000000000,0.0002600000,0.0091600000
0.1,300,0.333,0.333,0.334,0.0000000000,0.0004000000,0.0063000000
0.1,300,0.3,0.4,0.3,0.0000000000,0.0002800000,0.0055600000
0.1,300,0.4,0.1,0.5,0.0000000000,0.0000800000,0.0099200000
0.1,300,0.4,0.2,0.4,0.0000200000,0.0002000000,0.0070200000
0.1,300,0.4,0.3,0.3,0.0000000000,0.0002400000,0.0055000000
0.1,300,0.5,0.4,0.1,0.0000200000,0.0005000000,0.0021000000
0.1,300,0.5,0.1,0.4,0.0000000000,0.0001400000,0.0075200000
0.1,300,0.6,0.1,0.3,0.0000000000,0.0000800000,0.0058000000
0.1,320,0.1,0.6,0.3,0.0000000000,0.0002000000,0.0017400000
0.1,320,0.1,0.2,0.7,0.0000000000,0.0001400000,0.0037200000
0.1,320,0.2,0.3,0.5,0.0000000000,0.0000800000,0.0027800000
0.1,320,0.2,0.5,0.3,0.0000000000,0.0002800000,0.0015600000
0.1,320,0.2,0.6,0.2,0.0000000000,0.0003000000,0.0009600000
0.1,320,0.2,0.4,0.4,0.0000000000,0.0001800000,0.0024200000
0.1,320,0.3,0.3,0.4,0.0000000000,0.0001400000,0.0019200000
0.1,320,0.3,0.2,0.5,0.0000200000,0.0000600000,0.0022400000
0.1,320,0.333,0.333,0.334,0.0000000000,0.0001000000,0.0018000000
0.1,320,0.3,0.4,0.3,0.0000000000,0.0002400000,0.0019400000
0.1,320,0.4,0.1,0.5,0.0000200000,0.0000200000,0.0023400000
0.1,320,0.4,0.2,0.4,0.0000000000,0.0000800000,0.0018800000
0.1,320,0.4,0.3,0.3,0.0000000000,0.0002000000,0.0016400000
0.1,320,0.5,0.4,0.1,0.0000000000,0.0001600000,0.0006800000
0.1,320,0.5,0.1,0.4,0.0000000000,0.0000200000,0.0017600000
0.1,320,0.6,0.1,0.3,0.0000000000,0.0000400000,0.0014600000
0.1,340,0.1,0.6,0.3,0.0000000000,0.0000800000,0.0003600000
0.1,340,0.1,0.2,0.7,0.0000000000,0.0000000000,0.0012000000
0.1,340,0.2,0.3,0.5,0.0000000000,0.0000600000,0.0008200000
0.1,340,0.2,0.5,0.3,0.0000000000,0.0000600000,0.0004200000
0.1,340,0.2,0.6,0.2,0.0000000000,0.0000600000,0.0003200000
0.1,340,0.2,0.4,0.4,0.0000000000,0.0001000000,0.0006800000
0.1,340,0.3,0.3,0.4,0.0000000000,0.0000200000,0.0007000000
0.1,340,0.3,0.2,0.5,0.0000000000,0.0000200000,0.0007600000
