Pressure, Temperature, X_ch4, X_c2h6, X_c3h8, ch4_uptake, c2h6_uptake, c3h8_uptake
0.1,200,0.1,0.6,0.3,0.0000200000,0.0001600000,0.0010800000
0.1,200,0.1,0.2,0.7,0.0000200000,0.0000800000,0.0019800000
0.1,200,0.2,0.3,0.5,0.0000200000,0.0000800000,0.0017800000
0.1,200,0.2,0.5,0.3,0.0000200000,0.0001600000,0.0010000000
0.1,200,0.2,0.6,0.2,0.0000200000,0.0001800000,0.0005800000
0.1,200,0.2,0.4,0.4,0.0000200000,0.0001400000,0.0014400000
0.1,200,0.3,0.3,0.4,0.0000000000,0.0001000000,0.0013200000
0.1,200,0.3,0.2,0.5,0.0000000000,0.0001000000,0.0015400000
0.1,200,0.333,0.333,0.334,0.0000200000,0.0001600000,0.0008800000
0.1,200,0.3,0.4,0.3,0.0000200000,0.0002200000,0.0008600000
0.1,200,0.4,0.1,0.5,0.0000000000,0.0000600000,0.0017600000
0.1,200,0.4,0.2,0.4,0.0000000000,0.0000800000,0.0013200000
0.1,200,0.4,0.3,0.3,0.0000200000,0.0001200000,0.0010000000
0.1,200,0.5,0.4,0.1,0.0000400000,0.0001400000,0.0002800000
0.1,200,0.5,0.1,0.4,0.0000000000,0.0000600000,0.0013400000
0.1,200,0.6,0.1,0.3,0.0000200000,0.0000600000,0.0008400000
0.1,220,0.1,0.6,0.3,0.0000000000,0.0000400000,0.0004000000
0.1,220,0.1,0.2,0.7,0.0000000000,0.0000000000,0.0008000000
0.1,220,0.2,0.3,0.5,0.0000000000,0.0000200000,0.0005200000
0.1,220,0.2,0.5,0.3,0.0000000000,0.0000200000,0.0003800000
0.1,220,0.2,0.6,0.2,0.0000000000,0.0000400000,0.0003000000
0.1,220,0.2,0.4,0.4,0.0000000000,0.0000200000,0.0003400000
0.1,220,0.3,0.3,0.4,0.0000000000,0.0000200000,0.0003600000
0.1,220,0.3,0.2,0.5,0.0000200000,0.0000000000,0.0004800000
0.1,220,0.333,0.333,0.334,0.0000000000,0.0000400000,0.0003000000
0.1,220,0.3,0.4,0.3,0.0000000000,0.0000200000,0.0003400000
0.1,220,0.4,0.1,0.5,0.0000000000,0.0000000000,0.0004800000
0.1,220,0.4,0.2,0.4,0.0000000000,0.0000200000,0.0003800000
0.1,220,0.4,0.3,0.3,0.0000000000,0.0000200000,0.0003600000
0.1,220,0.5,0.4,0.1,0.0000200000,0.0000200000,0.0001600000
0.1,220,0.5,0.1,0.4,0.0000000000,0.0000200000,0.0004000000
0.1,220,0.6,0.1,0.3,0.0000000000,0.0000000000,0.0003200000
0.1,240,0.1,0.6,0.3,0.0000000000,0.0000200000,0.0001200000
0.1,240,0.1,0.2,0.7,0.0000000000,0.0000200000,0.0003600000
0.1,240,0.2,0.3,0.5,0.0000000000,0.0000200000,0.0002800000
0.1,240,0.2,0.5,0.3,0.0000000000,0.0000200000,0.0001600000
0.1,240,0.2,0.6,0.2,0.0000000000,0.0000200000,0.0001400000
0.1,240,0.2,0.4,0.4,0.0000000000,0.0000400000,0.0002400000
0.1,240,0.3,0.3,0.4,0.0000000000,0.0000200000,0.0002200000
0.1,240,0.3,0.2,0.5,0.0000000000,0.0000200000,0.0002800000
0.1,240,0.333,0.333,0.334,0.0000000000,0.0000400000,0.0002000000
0.1,240,0.3,0.4,0.3,0.0000000000,0.0000400000,0.0002000000
0.1,240,0.4,0.1,0.5,0.0000000000,0.0000200000,0.0001800000
0.1,240,0.4,0.2,0.4,0.0000000000,0.0000200000,0.0002200000
0.1,240,0.4,0.3,0.3,0.0000000000,0.0000400000,0.0001800000
0.1,240,0.5,0.4,0.1,0.0000000000,0.0000200000,0.0000200000
0.1,240,0.5,0.1,0.4,0.0000000000,0.0000200000,0.0002400000
0.1,240,0.6,0.1,0.3,0.0000000000,0.0000400000,0.0001800000
0.1,260,0.1,0.6,0.3,0.0000000000,0.0000000000,0.0001000000
