X1,X2,X3,X4,X5, X_c4h10, ch4_uptake, c2h6_uptake, c3h8_uptake, c4h10_uptake,y
10,200,0.1,0.2,0.3,0.4,0.0003,0.12984,13.49446,58.1394,1.57085E-05
10,200,0.1,0.1,0.2,0.6,0.00028,0.05434,7.23202,65.40784,1.92154E-05
10,200,0.15,0.35,0.2,0.3,0.00088,0.25684,9.65538,47.1462,2.84562E-05
10,200,0.15,0.3,0.35,0.2,0.00142,0.17422,12.09692,19.0162,7.26951E-05
10,200,0.2,0.1,0.3,0.4,0.00088,0.0625,13.12306,58.15862,2.31866E-05
10,200,0.22,0.28,0.25,0.25,0.00174,0.1892,10.57308,32.93324,4.52722E-05
10,200,0.2,0.4,0.1,0.3,0.00124,0.29058,5.203,49.14234,2.86289E-05
10,200,0.25,0.25,0.25,0.25,0.00156,0.18434,12.39644,41.1193,2.90502E-05
10,200,0.25,0.2,0.25,0.3,0.0014,0.14768,12.82838,51.12952,2.51704E-05
10,200,0.28,0.22,0.3,0.2,0.0022,0.1257,10.4734,18.87982,6.04946E-05
10,200,0.3,0.2,0.1,0.4,0.00138,0.13966,4.82996,63.14196,2.2238E-05
10,200,0.3,0.3,0.2,0.2,0.00252,0.14932,6.88864,15.6363,7.42558E-05
10,200,0.33,0.33,0.2,0.14,0.00244,0.14562,6.82948,9.2414,7.34994E-05
10,200,0.33,0.17,0.3,0.2,0.00316,0.0925,10.1101,17.84176,7.75659E-05
10,200,0.4,0.1,0.15,0.35,0.00224,0.07368,7.78516,59.0917,2.52854E-05
10,200,0.4,0.1,0.3,0.2,0.00306,0.05324,9.95264,16.56958,6.56338E-05
10,220,0.1,0.2,0.3,0.4,0.00028,0.03746,4.79512,4.54188,0.000101723
10,220,0.1,0.1,0.2,0.6,0.00036,0.01794,3.03796,6.96564,0.000133439
10,220,0.15,0.35,0.2,0.3,0.0005,0.08738,4.4849,4.2629,9.03739E-05
10,220,0.15,0.3,0.35,0.2,0.00042,0.0635,6.22872,2.48292,9.20368E-05
10,220,0.2,0.1,0.3,0.4,0.00062,0.01962,4.60274,4.67052,0.000113908
10,220,0.22,0.28,0.25,0.25,0.00076,0.0671,5.20864,3.50222,9.84676E-05
10,220,0.2,0.4,0.1,0.3,0.0007,0.13092,2.90552,5.6939,7.23706E-05
10,220,0.25,0.25,0.25,0.25,0.0008,0.057,5.2642,3.4537,9.11691E-05
10,220,0.25,0.2,0.25,0.3,0.0008,0.04464,4.75728,4.09094,9.72976E-05
10,220,0.28,0.22,0.3,0.2,0.00098,0.04722,5.81974,2.84644,0.00010341
10,220,0.3,0.2,0.1,0.4,0.0008,0.04958,2.44538,6.51312,6.50652E-05
10,220,0.3,0.3,0.2,0.2,0.00104,0.08012,4.9957,3.49128,8.11828E-05
10,220,0.33,0.33,0.2,0.14,0.00074,0.09772,5.7107,2.62356,4.71203E-05
10,220,0.33,0.17,0.3,0.2,0.00094,0.03474,5.88934,2.75416,8.47605E-05
10,220,0.4,0.1,0.15,0.35,0.00152,0.02228,3.44242,5.45086,9.80743E-05
10,220,0.4,0.1,0.3,0.2,0.00132,0.02248,6.02308,2.6259,9.87101E-05
10,240,0.1,0.2,0.3,0.4,0.00014,0.04878,4.52146,3.31626,5.93067E-05
10,240,0.1,0.1,0.2,0.6,0.00022,0.02338,3.12442,4.83842,9.19735E-05
10,240,0.15,0.35,0.2,0.3,0.00034,0.12188,4.25624,3.30068,6.94621E-05
10,240,0.15,0.3,0.35,0.2,0.0004,0.08624,5.97094,1.74304,0.000102318
10,240,0.2,0.1,0.3,0.4,0.0005,0.02418,4.71504,3.16798,0.000104696
10,240,0.22,0.28,0.25,0.25,0.00048,0.08858,5.03846,2.57964,7.08641E-05
10,240,0.2,0.4,0.1,0.3,0.00066,0.18438,2.91046,4.40746,7.45643E-05
10,240,0.25,0.25,0.25,0.25,0.0004,0.08166,5.04922,2.59694,5.1761E-05
10,240,0.25,0.2,0.25,0.3,0.00048,0.06282,4.7624,2.92204,6.59707E-05
10,240,0.28,0.22,0.3,0.2,0.00054,0.0674,5.64898,1.98258,6.63898E-05
10,240,0.3,0.2,0.1,0.4,0.0006,0.08614,2.5718,4.90556,5.20662E-05
10,240,0.3,0.3,0.2,0.2,0.00074,0.12148,4.96798,2.4561,6.57334E-05
10,240,0.33,0.33,0.2,0.14,0.0008,0.14418,5.40568,1.9039,5.90349E-05
10,240,0.33,0.17,0.3,0.2,0.00056,0.04818,5.64084,2.03746,5.79695E-05
10,240,0.4,0.1,0.15,0.35,0.0012,0.03506,3.45242,4.13722,8.52579E-05
10,240,0.4,0.1,0.3,0.2,0.00062,0.02902,5.72136,1.97856,5.29838E-05
10,260,0.1,0.2,0.3,0.4,0.00014,0.06354,3.6907,2.11072,7.82261E-05
10,260,0.1,0.1,0.2,0.6,0.00014,0.034,2.64992,3.14426,7.43493E-05
10,260,0.15,0.35,0.2,0.3,0.00042,0.1387,3.1843,2.00918,0.00012166
10,260,0.15,0.3,0.35,0.2,0.00032,0.10292,4.53784,1.08772,0.000113796
10,260,0.2,0.1,0.3,0.4,0.00044,0.03134,3.76684,2.07556,0.000121827
10,260,0.22,0.28,0.25,0.25,0.00064,0.10672,3.71998,1.57424,0.000134942
10,260,0.2,0.4,0.1,0.3,0.00068,0.19366,1.98118,2.4058,0.000120076
10,260,0.25,0.25,0.25,0.25,0.00056,0.09272,3.69662,1.59164,0.00010407
10,260,0.25,0.2,0.25,0.3,0.00072,0.07372,3.66514,1.77792,0.000137434
10,260,0.28,0.22,0.3,0.2,0.00072,0.07592,4.28634,1.20936,0.000124346
10,260,0.3,0.2,0.1,0.4,0.00062,0.09576,1.84714,2.98812,7.82221E-05
10,260,0.3,0.3,0.2,0.2,0.00074,0.12968,3.50178,1.3913,9.90722E-05
10,260,0.33,0.33,0.2,0.14,0.00094,0.15042,3.61352,1.07988,0.000108568
10,260,0.33,0.17,0.3,0.2,0.00068,0.06388,4.31198,1.16476,0.000100162
10,260,0.4,0.1,0.15,0.35,0.00106,0.0396,2.56734,2.4032,0.000108705
10,260,0.4,0.1,0.3,0.2,0.00084,0.03652,4.28324,1.18256,0.000102163
10,280,0.1,0.2,0.3,0.4,0.0001,0.0417,1.72734,0.82062,0.000124722
10,280,0.1,0.1,0.2,0.6,0.00026,0.02358,1.18142,1.22596,0.000317609
10,280,0.15,0.35,0.2,0.3,0.00026,0.08526,1.28468,0.66712,0.00019496
10,280,0.15,0.3,0.35,0.2,0.00018,0.06528,2.02806,0.41666,0.000148233
10,280,0.2,0.1,0.3,0.4,0.00042,0.02066,1.78298,0.79504,0.000258066
10,280,0.22,0.28,0.25,0.25,0.00048,0.0644,1.51976,0.53704,0.000257984
10,280,0.2,0.4,0.1,0.3,0.00054,0.10352,0.68748,0.73014,0.000282208
10,280,0.25,0.25,0.25,0.25,0.00052,0.0577,1.55466,0.52728,0.000243032
10,280,0.25,0.2,0.25,0.3,0.00038,0.0461,1.52342,0.634,0.000180148
10,280,0.28,0.22,0.3,0.2,0.00034,0.04986,1.7865,0.42528,0.000146158
10,280,0.3,0.2,0.1,0.4,0.00044,0.0494,0.66414,0.92314,0.000159485
10,280,0.3,0.3,0.2,0.2,0.00058,0.07256,1.33888,0.4684,0.000208372
10,280,0.33,0.33,0.2,0.14,0.00052,0.0817,1.32688,0.32826,0.000170783
10,280,0.33,0.17,0.3,0.2,0.0005,0.04006,1.84934,0.435,0.000176692
10,280,0.4,0.1,0.15,0.35,0.00076,0.02414,0.95676,0.78864,0.000214131
10,280,0.4,0.1,0.3,0.2,0.00106,0.02384,1.82058,0.433,0.000312795
10,300,0.1,0.2,0.3,0.4,0.00008,0.0182,0.51904,0.21512,0.000339136
